start	end	text
880	10280	お買い物中の皆様こんにちは 皆様に楽しくお買い物をしていただくためにお願いがございます
10280	17920	新型コロナウイルスは感染者が減ってきているとはいえ まだまだ収束したわけではありません
17920	29840	感染が拡大しないようにできるだけマスクの着用をお願いします ショッピングに夢中になっているとついつい人との距離感を忘れてしまい
29840	38560	ます 密な状況をつくらないようお互いの距離を保ってお買い物してください
39000	51640	各店舗の入り口にはアルコール消毒液が設置されています お買い物前とお買い物後には手指の消毒にご協力ください
52240	66520	マスクをつけていても人の多い売り場での席やすれ違い様の席は気持ちの良いものではありません 席へチケットを守ってショッピングをお楽しみください
67080	76560	また新しい生活様式を実践するため スタッフ従業員の健康チェックマスク着用
76560	83720	こまめな手洗いうがい消毒の励行 店舗内のこまめな換気
83720	96680	随所に消毒用アルコールの設置 密閉密集密接を避けるなど各店舗で様々な対応をしています
96720	106680	今後今まで以上に気を引き締めてご自身やご家族 大切な人を守る行動をお願いします
106680	118200	感染拡大を防ぐためには皆さんお一人お一人の協力が必要です マナーを守って楽しいお買い物を
118200	123960	皆様のご理解ご協力をお願いいたします
