お買い物中の皆様こんにちは 皆様に楽しくお買い物をしていただくためにお願いがございます
新型コロナウイルスは感染者が減ってきているとはいえ まだまだ収束したわけではありません
感染が拡大しないようにできるだけマスクの着用をお願いします ショッピングに夢中になっているとついつい人との距離感を忘れてしまい
ます 密な状況をつくらないようお互いの距離を保ってお買い物してください
各店舗の入り口にはアルコール消毒液が設置されています お買い物前とお買い物後には手指の消毒にご協力ください
マスクをつけていても人の多い売り場での席やすれ違い様の席は気持ちの良いものではありません 席へチケットを守ってショッピングをお楽しみください
また新しい生活様式を実践するため スタッフ従業員の健康チェックマスク着用
こまめな手洗いうがい消毒の励行 店舗内のこまめな換気
随所に消毒用アルコールの設置 密閉密集密接を避けるなど各店舗で様々な対応をしています
今後今まで以上に気を引き締めてご自身やご家族 大切な人を守る行動をお願いします
感染拡大を防ぐためには皆さんお一人お一人の協力が必要です マナーを守って楽しいお買い物を
皆様のご理解ご協力をお願いいたします
